# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.944812886999999962e-02
4.020000000000000000e+02,3.661157100999999636e-02
4.030000000000000000e+02,3.790512230000000343e-02
4.040000000000000000e+02,3.642237477399999646e-02
4.050000000000000000e+02,3.707428205800000071e-02
4.060000000000000000e+02,3.621530393599999703e-02
4.070000000000000000e+02,1.521735833799999979e-02
4.080000000000000000e+02,3.234456053200000097e-02
4.090000000000000000e+02,3.665672144600000404e-02
4.100000000000000000e+02,3.607186309799999963e-02
4.110000000000000000e+02,4.672462086599999146e-04
4.120000000000000000e+02,4.396644071999999666e-05
4.130000000000000000e+02,4.365399698599999983e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,2.106200768000000001e-05
4.160000000000000000e+02,1.392518456579999915e-04
4.170000000000000000e+02,8.181031752200001680e-05
4.180000000000000000e+02,3.394847230000000020e-05
4.190000000000000000e+02,0.000000000000000000e+00
4.200000000000000000e+02,0.000000000000000000e+00
