# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.921162758799999981e-02
4.020000000000000000e+02,3.672141837400000330e-02
4.030000000000000000e+02,3.715795741200000196e-02
4.040000000000000000e+02,3.634929929599999693e-02
4.050000000000000000e+02,3.704730565599999997e-02
4.060000000000000000e+02,3.619484180399999695e-02
4.070000000000000000e+02,1.521835131599999849e-02
4.080000000000000000e+02,3.223872396799999651e-02
4.090000000000000000e+02,3.669839528199999451e-02
4.100000000000000000e+02,3.613226986600000246e-02
4.110000000000000000e+02,4.725481558599999715e-04
4.120000000000000000e+02,6.920510212000000939e-05
4.130000000000000000e+02,6.413657572000000442e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,8.637506566000000539e-05
4.160000000000000000e+02,1.462067221800000079e-04
4.170000000000000000e+02,2.967382400000000275e-05
4.180000000000000000e+02,7.168007660000000239e-05
4.190000000000000000e+02,1.364019682800000140e-04
4.200000000000000000e+02,2.680642437999999707e-05
